,State_x,Pathway,LTCH Low ,LTCH High ,Variable (Low),Variable (High),Variable (base),Result (base),Variable Name,Variable Unit,TotalCostforSorting
1,Alabama,SMR,5.577786265182841,5.585729265182842,0.035,0.096,0.058,5.580763350709157,Electricity Price,$/kWh,0.007943
2,Alabama,SMR,5.5517430173758235,5.657447017375823,0.006,0.03,0.013,5.580763350709157,Water Price (Hydrogen),$/gal,0.10570399999999935
0,Alabama,SMR,5.116630339351282,6.873200666904269,2.765,13.882,5.702,5.580763350709157,Natural Gas Price,$/MMBTU,1.7565703275529874
1,Arizona,SMR,5.718989424598721,5.725242424598721,0.046,0.094,0.064,5.721326559467142,Electricity Price,$/kWh,0.006253
2,Arizona,SMR,5.692306226133809,5.798010226133809,0.006,0.03,0.013,5.721326559467142,Water Price (Hydrogen),$/gal,0.10570400000000024
0,Arizona,SMR,5.086977228770459,6.596957960947723,2.572,12.129,6.587,5.721326559467142,Natural Gas Price,$/MMBTU,1.5099807321772643
1,Arkansas,SMR,5.845323724669708,5.852369724669709,0.034,0.089,0.057,5.848247057,Electricity Price,$/kWh,0.007046
2,Arkansas,SMR,5.819226723573218,5.924930723573217,0.006,0.03,0.013,5.848247057,Water Price (Hydrogen),$/gal,0.10570399999999935
0,Arkansas,SMR,5.449812187217877,6.562509682400922,4.875,11.917,7.396,5.848247057,Natural Gas Price,$/MMBTU,1.1126974951830446
1,California,SMR,5.963926178788562,5.9896401787885605,0.058,0.255,0.125,5.972714734709614,Electricity Price,$/kWh,0.025713999999998904
2,California,SMR,5.9436944013762805,6.049398401,0.006,0.03,0.013,5.972714734709614,Water Price (Hydrogen),$/gal,0.10570399999999935
0,California,SMR,5.192289761576462,8.233561437877041,3.189,22.437,8.128,5.972714734709614,Natural Gas Price,$/MMBTU,3.041271676
1,Colorado,SMR,5.771016174522664,5.779102174522666,0.036,0.098,0.069,5.7754091909700325,Electricity Price,$/kWh,0.008086
2,Colorado,SMR,5.746388858,5.852092858,0.006,0.03,0.013,5.7754091909700325,Water Price (Hydrogen),$/gal,0.10570400000000024
0,Colorado,SMR,5.143948956206824,7.1547196691162664,2.929,15.655,6.925,5.7754091909700325,Natural Gas Price,$/MMBTU,2.0107707129094425
1,Connecticut,SMR,5.930089651249163,5.949173651249163,0.068,0.215,0.128,5.937773335459688,Electricity Price,$/kWh,0.019084000000000323
2,Connecticut,SMR,5.908753002126356,6.014457002126355,0.006,0.03,0.013,5.937773335459688,Water Price (Hydrogen),$/gal,0.10570399999999935
0,Connecticut,SMR,5.165203046,7.3799429303283635,3.015,17.033,7.905,5.937773335459688,Natural Gas Price,$/MMBTU,2.2147398843930635
1,Delaware,SMR,6.3623563544436985,6.376578354,0.029,0.138,0.079,6.368906387338436,Electricity Price,$/kWh,0.014222000000001067
2,Delaware,SMR,6.3398860540051025,6.445590054005102,0.006,0.03,0.013,6.368906387338436,Water Price (Hydrogen),$/gal,0.10570399999999935
0,Delaware,SMR,5.0873799688006285,8.568555305987527,2.563,24.595,10.674,6.368906387338436,Natural Gas Price,$/MMBTU,3.481175337186899
1,Florida,SMR,5.839299703058719,5.846215703,0.049,0.103,0.077,5.842879278716614,Electricity Price,$/kWh,0.006916
2,Florida,SMR,5.813858945383281,5.919562945,0.006,0.03,0.013,5.842879278716614,Water Price (Hydrogen),$/gal,0.10570399999999935
0,Florida,SMR,5.297145315031994,6.823869785166869,3.892,13.555,7.346,5.842879278716614,Natural Gas Price,$/MMBTU,1.5267244701348748
1,Georgia,SMR,5.6273805207350165,5.638924520735016,0.036,0.124,0.06,5.630540846,Electricity Price,$/kWh,0.011543999999999777
2,Georgia,SMR,5.601520513059577,5.707224513059577,0.006,0.03,0.013,5.630540846,Water Price (Hydrogen),$/gal,0.10570400000000024
0,Georgia,SMR,5.113808263490569,6.929742752893266,2.746,14.239,6.016,5.630540846,Natural Gas Price,$/MMBTU,1.8159344894026974
1,Idaho,SMR,5.603710866845958,5.6126288668459585,0.031,0.099,0.054,5.6067812615828005,Electricity Price,$/kWh,0.008918
2,Idaho,SMR,5.577760928249467,5.683464928249467,0.006,0.03,0.013,5.6067812615828005,Water Price (Hydrogen),$/gal,0.10570400000000024
0,Idaho,SMR,5.208977286326741,6.283620831606124,3.353,10.154,5.87,5.6067812615828005,Natural Gas Price,$/MMBTU,1.0746435452793834
1,Illinois,SMR,5.794325594155562,5.8032955941555615,0.039,0.108,0.066,5.797824604023982,Electricity Price,$/kWh,0.00897
2,Illinois,SMR,5.768804271,5.874508270690649,0.006,0.03,0.013,5.797824604023982,Water Price (Hydrogen),$/gal,0.10570399999999935
0,Illinois,SMR,5.074999839801287,7.111647238645217,2.495,15.385,7.07,5.797824604023982,Natural Gas Price,$/MMBTU,2.0366473988439298
1,Indiana,SMR,5.772014319490221,5.779931319490222,0.038,0.099,0.064,5.775333638569169,Electricity Price,$/kWh,0.007917
2,Indiana,SMR,5.746313305235837,5.852017305235835,0.006,0.03,0.013,5.775333638569169,Water Price (Hydrogen),$/gal,0.10570399999999758
0,Indiana,SMR,5.188864998722796,6.965223380225686,3.218,14.461,6.93,5.775333638569169,Natural Gas Price,$/MMBTU,1.7763583815028907
1,Iowa,SMR,5.656475280253043,5.663664280253043,0.036,0.092,0.056,5.659042823,Electricity Price,$/kWh,0.007189
2,Iowa,SMR,5.630022489682868,5.735726489682867,0.006,0.03,0.013,5.659042823,Water Price (Hydrogen),$/gal,0.10570399999999935
0,Iowa,SMR,5.181803590422421,6.570011683,3.179,11.965,6.2,5.659042823,Natural Gas Price,$/MMBTU,1.3882080924855495
1,Kansas,SMR,5.586794951378146,5.593281951378146,0.041,0.091,0.066,5.590043155325515,Electricity Price,$/kWh,0.006487
2,Kansas,SMR,5.561022821992181,5.666726821992182,0.006,0.03,0.013,5.590043155325515,Water Price (Hydrogen),$/gal,0.10570400000000024
0,Kansas,SMR,5.108496509795456,6.638265295922624,2.707,12.389,5.755,5.590043155325515,Natural Gas Price,$/MMBTU,1.5297687861271676
1,Kentucky,SMR,5.555895209815217,5.563474209815217,0.027,0.085,0.052,5.559111726262586,Electricity Price,$/kWh,0.007579
2,Kentucky,SMR,5.530091392929253,5.635795392929253,0.006,0.03,0.013,5.559111726262586,Water Price (Hydrogen),$/gal,0.10570399999999935
0,Kentucky,SMR,5.089914084337845,6.863228149848442,2.601,13.825,5.571,5.559111726262586,Natural Gas Price,$/MMBTU,1.773314065510597
1,Louisiana,SMR,5.419983231109217,5.427731231109217,0.037,0.097,0.059,5.422775964661849,Electricity Price,$/kWh,0.007748
2,Louisiana,SMR,5.393755631328515,5.499459631328515,0.006,0.03,0.013,5.422775964661849,Water Price (Hydrogen),$/gal,0.10570399999999935
0,Louisiana,SMR,4.981194925720565,6.9189020548149776,1.908,14.171,4.702,5.422775964661849,Natural Gas Price,$/MMBTU,1.9377071290944121
1,Maine,SMR,6.184473689917888,6.2019326899178875,0.055,0.19,0.096,6.189820068207361,Electricity Price,$/kWh,0.017459
2,Maine,SMR,6.160799734874027,6.266503734874028,0.006,0.03,0.013,6.189820068207361,Water Price (Hydrogen),$/gal,0.10570400000000024
0,Maine,SMR,5.357508121517137,7.438298102249314,4.258,17.428,9.526,6.189820068207361,Natural Gas Price,$/MMBTU,2.0807899807321775
1,Maryland,SMR,6.266989896014362,6.2898048960143615,0.03,0.205,0.084,6.274067284172256,Electricity Price,$/kWh,0.022814999999999586
